,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
170,Ryzen 7 Octa Core,4.7,2 TB,32,DEDICATED,6,No,40.64,2304000,204990.0
171,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,54990.0
173,Core i5,4.4,256 GB,8,DEDICATED,4,No,39.62,2073600,65990.0
174,Core i5,4.7,512 GB,16,INTEGRATED,0,No,40.64,2304000,68990.0
175,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,54990.0
176,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,71990.0
178,Core i9,5.0,1 TB,32,DEDICATED,8,No,43.94,3686400,334990.0
179,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,44870.0
180,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,62990.0
182,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,77400.0
183,Core i5,4.6,512 GB,16,INTEGRATED,0,No,33.78,5184000,99990.0
185,Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,68990.0
186,Core i7,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,86990.0
187,Core i3,3.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,32990.0
188,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,33.78,2304000,67990.0
189,Core i5,4.6,512 GB,8,INTEGRATED,0,No,35.56,2073600,59990.0
191,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,57990.0
193,Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,35.56,5184000,94990.0
194,Core i3,3.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,27490.0
195,Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,58990.0
196,Core i9,5.0,1 TB,32,DEDICATED,16,No,43.94,2073600,323990.0
198,Core i3,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,47490.0
199,Celeron Dual Core,2.8,256 GB,8,INTEGRATED,0,No,35.56,1049088,31990.0
201,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,59990.0
202,Core i9,5.6,1 TB,32,DEDICATED,12,No,40.64,4096000,279990.0
203,Core i7,4.7,1 TB,16,DEDICATED,4,No,39.62,2073600,101990.0
204,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,174990.0
206,Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600,39490.0
208,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,76990.0
210,Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,35.56,1049088,19990.0
211,M2 Pro,,512 GB,16,INTEGRATED,0,No,40.64,7720704,229990.0
212,Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,64890.0
215,Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,45300.0
216,Athlon Dual Core,3.2,256 GB,4,INTEGRATED,0,No,39.62,1049088,22390.0
217,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,79990.0
218,Core i3,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,49990.0
219,Core i7,4.7,1 TB,16,DEDICATED,6,No,40.64,4096000,159990.0
221,Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3110400,51999.0
222,M2,,256 GB,8,INTEGRATED,0,No,33.78,4096000,119990.0
223,Ryzen 9 16 Core,5.4,2 TB,32,DEDICATED,12,No,40.64,4096000,379990.0
224,Ryzen 3 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,36990.0
225,Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,61990.0
227,Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,2073600,63990.0
228,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,50990.0
230,Core i7,5.0,1 TB,16,DEDICATED,8,No,39.62,2073600,169990.0
231,Core i5,4.4,256 GB,16,DEDICATED,6,No,39.62,2073600,79990.0
232,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,48490.0
234,Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,40.64,2073600,73990.0
235,Core i7,5.0,1 TB,32,DEDICATED,8,No,40.64,4096000,199990.0
238,Core i5,4.6,512 GB,16,INTEGRATED,0,No,35.56,2073600,63990.0
239,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,65990.0
240,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,39.62,3686400,211990.0
242,Core i3,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,45990.0
243,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,43890.0
244,Core i7,4.6,512 GB,16,DEDICATED,4,No,38.0,2073600,99990.0
246,Core i5,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2304000,71990.0
247,Core i7,2.6,1 TB,16,DEDICATED,8,No,39.62,8294400,250000.0
249,Ryzen 9 Octa Core,4.9,1 TB,16,DEDICATED,8,No,43.94,3686400,210990.0
250,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,68990.0
251,Ryzen 5 Hexa Core,4.2,512 GB,16,DEDICATED,4,No,39.62,2073600,64990.0
252,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,52100.0
253,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,38390.0
254,Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,64990.0
256,Core i9,5.0,512 GB,16,INTEGRATED,0,No,39.62,2073600,79990.0
257,Core i5,4.6,1 TB,8,INTEGRATED,0,No,39.62,2073600,67990.0
258,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
261,Ryzen 7 Octa Core,4.4,1 TB,32,DEDICATED,8,No,40.64,4096000,181990.0
262,MediaTek Kompanio 500,,,4,INTEGRATED,0,Yes,29.46,1049088,22400.0
264,Core i9,5.5,2 TB,32,DEDICATED,12,No,43.18,4096000,359990.0
265,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
266,Core i7,5.0,1 TB,32,DEDICATED,0,No,40.64,4096000,185990.0
268,M1,,256 GB,16,INTEGRATED,0,No,33.78,4096000,99999.0
269,Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,39.62,2073600,79990.0
270,Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,39.62,2073600,23490.0
271,Core i3,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,39990.0
272,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,37990.0
274,Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
