,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
806,Core i3,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,48990.0
807,Celeron Dual Core,2.8,,4,INTEGRATED,0,No,39.62,1049088,19990.0
809,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,65990.0
810,Ryzen 5 Hexa Core,4.0,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,92290.0
811,Core i3,4.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,41590.0
813,Core i5,2.4,512 GB,8,INTEGRATED,0,Yes,33.78,2073600,80800.0
814,Ryzen 5 Quad Core,3.7,512 GB,8,INTEGRATED,0,No,39.62,2073600,40990.0
816,Ryzen 5 Quad Core,,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
817,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,36990.0
818,Core i7,5.0,512 GB,16,INTEGRATED,0,No,35.56,5184000,112990.0
819,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,74990.0
820,Ryzen 5 Hexa Core,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,79990.0
823,Core i5,4.2,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,79290.0
824,Core i5,4.7,512 GB,8,INTEGRATED,0,No,43.18,4096000,101299.0
825,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,89976.0
826,Core i5,4.4,512 GB,16,DEDICATED,2,No,39.62,2073600,78290.0
828,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,41490.0
829,Core i5,4.5,512 GB,8,DEDICATED,4,No,43.94,2073600,71990.0
830,Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600,53490.0
831,Celeron Dual Core,2.4,,4,INTEGRATED,0,No,35.56,1049088,16990.0
832,Core i5,4.4,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,78000.0
834,Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,60490.0
835,Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,33.78,5184000,102990.0
837,MediaTek Kompanio 1200,2.6,256 GB,8,INTEGRATED,0,No,33.78,2073600,35990.0
838,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,69990.0
840,Ryzen 9 Octa Core,4.9,2 TB,32,DEDICATED,16,No,40.64,4096000,369990.0
841,Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,45988.0
842,Celeron Dual Core,2.8,,4,INTEGRATED,0,Yes,35.56,1049088,18990.0
843,Core i7,4.7,1 TB,16,INTEGRATED,0,No,35.56,5184000,115999.0
845,Core i5,4.4,512 GB,8,INTEGRATED,0,No,40.64,2073600,69490.0
846,Ryzen 9 Octa Core,,512 GB,16,DEDICATED,6,No,42.16,2073600,99990.0
848,Core i3,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,40900.0
849,Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,No,40.64,9216000,138999.0
850,Core i5,4.4,256 GB,8,INTEGRATED,0,No,39.62,2073600,60990.0
851,Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,57990.0
853,MediaTek Kompanio 500,2.0,,4,INTEGRATED,0,Yes,26.67,2304000,29990.0
854,Core i5,3.9,512 GB,8,INTEGRATED,0,No,35.56,2073600,78990.0
855,Core i5,4.5,512 GB,16,DEDICATED,6,No,39.62,2073600,79990.0
856,Ryzen 5 Octa Core,,512 GB,8,INTEGRATED,0,No,35.56,2073600,50890.0
857,Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,40.64,5898240,144490.0
858,Core i7,4.7,1 TB,16,INTEGRATED,0,Yes,43.94,4915200,329990.0
861,Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,Yes,34.04,9216000,209990.0
862,Core i5,4.5,512 GB,8,DEDICATED,4,No,39.62,2073600,58900.0
864,Ryzen 9 Octa Core,4.4,1 TB,32,DEDICATED,8,No,35.56,4096000,189999.0
865,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,75990.0
866,Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600,50963.0
868,Celeron Dual Core,,128 GB,4,INTEGRATED,0,No,35.81,2073600,16990.0
869,Core i5,4.2,512 GB,8,DEDICATED,2,Yes,33.78,2073600,81990.0
870,Ryzen 5 Hexa Core,4.2,512 GB,8,INTEGRATED,0,Yes,33.78,2073600,82500.0
872,Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,57990.0
873,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,86070.0
874,Celeron Dual Core,2.8,256 GB,4,INTEGRATED,0,No,35.56,1049088,41999.0
877,Ryzen 3 Quad Core,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,39990.0
878,Ryzen 7 Octa Core,4.4,1 TB,16,DEDICATED,6,No,40.64,4096000,128998.0
879,Core i7,4.7,1 TB,16,INTEGRATED,0,Yes,35.56,5184000,121990.0
881,Core i7,4.7,256 GB,8,DEDICATED,2,No,39.62,2073600,65850.0
882,Ryzen 7 Quad Core,,512 GB,16,INTEGRATED,0,No,39.62,2073600,67420.0
884,Core i7,,1 TB,16,INTEGRATED,0,Yes,35.56,5184000,139500.0
885,Ryzen 3 Dual Core,2.6,512 GB,8,INTEGRATED,0,No,35.56,1049088,31999.0
886,Ryzen 5 Hexa Core,4.2,512 GB,8,INTEGRATED,0,Yes,35.81,2304000,59990.0
887,Core i5,4.2,512 GB,8,DEDICATED,2,No,35.0,2073600,63090.0
888,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,4,Yes,40.64,4096000,151990.0
890,Core i7,4.5,1 TB,16,DEDICATED,4,No,39.62,2073600,165490.0
891,Core i5,4.4,512 GB,16,DEDICATED,4,No,39.62,2073600,64990.0
893,Ryzen 5 Quad Core,,512 GB,16,INTEGRATED,0,No,39.62,2073600,60900.0
895,Core i3,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,60070.0
896,Core i7,,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,122000.0
897,Core i3,3.7,256 GB,8,INTEGRATED,0,No,39.62,2073600,38990.0
898,Ryzen 7 Octa Core,,16 GB,16,INTEGRATED,0,No,35.56,5184000,78500.0
900,Core i3,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,44990.0
901,Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,54990.0
902,Ryzen 5 Hexa Core,4.0,512 GB,8,DEDICATED,4,No,39.62,2073600,58990.0
903,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,3686400,124990.0
905,Core i7,4.7,512 GB,8,INTEGRATED,0,No,35.56,2073600,67990.0
906,Core i5,4.2,512 GB,8,DEDICATED,2,No,39.62,2073600,52488.0
907,Core i5,2.4,512 GB,16,INTEGRATED,0,Yes,33.78,5184000,93490.0
908,Core i7,4.7,1 TB,16,DEDICATED,6,No,40.64,4096000,167990.0
910,Core i7,4.6,512 GB,16,DEDICATED,4,No,39.62,2073600,96999.0
911,Core i5,,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,115000.0
912,Core i7,,1 TB,16,DEDICATED,4,No,39.62,2073600,99998.0
913,Core i3,3.0,256 GB,8,INTEGRATED,0,No,35.56,2073600,36990.0
915,Celeron Dual Core,2.4,,4,INTEGRATED,0,No,39.62,1049088,19990.0
917,Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600,56990.0
918,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,65990.0
920,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,67490.0
921,Ryzen 7 Octa Core,4.4,512 GB,16,DEDICATED,6,No,40.89,2073600,92990.0
922,Core i3,,,8,INTEGRATED,0,No,39.62,2073600,42500.0
923,Core i5,,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
924,Core i7,,512 GB,16,DEDICATED,2,Yes,35.56,2304000,109790.0
926,Celeron Dual Core,2.8,,4,INTEGRATED,0,Yes,35.56,2073600,18990.0
928,Core i5,4.4,512 GB,8,DEDICATED,4,No,39.62,2073600,70980.0
929,Ryzen 5 Quad Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,59990.0
930,Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,Yes,33.78,5184000,96990.0
931,Core i5,3.4,256 GB,8,INTEGRATED,0,No,33.78,2073600,69990.0
933,Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2304000,70990.0
934,Core i7,4.8,512 GB,16,DEDICATED,8,No,39.62,2073600,117990.0
935,Ryzen 5 Hexa Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,54490.0
937,Core i7,4.8,512 GB,16,DEDICATED,2,No,35.56,2073600,244801.0
938,Core i3,3.5,,8,INTEGRATED,0,No,39.62,2073600,41700.0
940,Ryzen 5 Hexa Core,4.5,1 TB,8,DEDICATED,4,No,39.62,3686400,84990.0
941,Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,Yes,40.64,4096000,156990.0
942,Core i7,4.8,512 GB,8,DEDICATED,4,No,39.62,2073600,79990.0
943,Core i5,4.2,512 GB,8,INTEGRATED,0,No,35.56,2073600,109990.0
944,Core i5,4.6,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,104990.0
946,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,97500.0
947,Core i7,4.7,512 GB,16,DEDICATED,6,No,40.64,4096000,154990.0
948,Core i3,4.1,256 GB,8,INTEGRATED,0,No,35.56,2073600,52937.0
949,M2,,256 GB,8,INTEGRATED,0,No,38.86,5368320,134900.0
951,Core i7,3.8,,8,DEDICATED,4,No,39.62,2073600,70990.0
952,M2,,256 GB,8,INTEGRATED,0,No,38.86,5368320,134900.0
954,Core i5,3.4,,8,DEDICATED,4,No,39.62,2073600,64821.0
955,M2,,256 GB,8,INTEGRATED,0,No,38.86,5368320,134900.0
957,M2,,512 GB,8,INTEGRATED,0,No,38.86,5368320,154900.0
958,M2,,512 GB,8,INTEGRATED,0,No,38.86,5368320,154900.0
962,Core i5,3.9,512 GB,8,INTEGRATED,0,No,33.78,2073600,66990.0
965,Ryzen 7 Octa Core,4.1,512 GB,8,INTEGRATED,0,No,35.56,2073600,63990.0
966,Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,32990.0
967,M2,,512 GB,8,INTEGRATED,0,No,38.86,5368320,154900.0
969,Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600,62990.0
970,Ryzen 7 Octa Core,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2304000,67990.0
971,Core i5,4.1,512 GB,16,DEDICATED,4,No,39.62,2073600,75900.0
972,Core i9,5.0,2 TB,32,DEDICATED,16,No,43.94,8294400,299990.0
973,Core i3,4.1,512 GB,8,INTEGRATED,0,Yes,39.62,2073600,42990.0
975,Core i5,4.1,512 GB,8,DEDICATED,4,No,39.62,2073600,64000.0
976,Core i5,,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,112440.0
977,Core i3,,256 GB,8,INTEGRATED,0,No,39.62,2073600,44490.0
979,Core i3,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,41990.0
