Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
20.0,4.2,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,73990.0
23.0,4.7,5.999999999999999,16.0,1.0,8.0,0.0,39.62,3686400.0,244990.0
23.0,4.7,4.0,16.0,1.0,6.0,0.0,39.62,2073600.0,94990.00000000001
14.0,4.2,4.0,8.0,1.0,4.0,0.0,40.89,2073600.0,70990.0
14.0,4.2,4.0,8.0,1.0,4.0,0.0,39.62,2073600.0,75991.0
14.0,4.5,4.0,8.0,1.0,4.0,0.0,40.89,2073600.0,78680.0
16.0,4.4,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,67990.0
10.0,3.8400000000000003,4.0,8.0,0.0,0.0,0.0,39.62,1049088.0,35989.99999999999
20.0,4.4,4.0,8.0,1.0,4.0,0.0,39.62,2073600.0,57990.0
14.0,4.5,4.0,16.0,0.0,0.0,0.0,33.78,2304000.0,68990.0
10.0,4.1,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,37490.0
16.0,4.4,4.0,8.0,1.0,4.0,0.0,39.62,2073600.0,62890.0
14.0,4.0,4.0,16.0,0.0,0.0,0.0,35.56,2073600.0,52990.0
16.0,4.4,2.0,8.0,0.0,0.0,0.0,39.62,2073600.0,63990.0
23.0,4.4,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,79990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,42990.00000000001
16.0,4.5,4.0,16.0,0.0,0.0,0.0,35.56,2304000.0,69990.0
9.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,39990.0
14.0,4.2,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,65990.0
20.0,4.2,4.0,8.0,1.0,4.0,0.0,43.94,2073600.0,67790.0
14.0,4.3,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,58990.0
10.0,4.1,2.0,8.0,0.0,0.0,0.0,35.56,2073600.0,33990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,39990.0
21.0,4.159999999999999,2.0,16.0,0.0,0.0,0.0,33.78,4096000.0,111990.0
20.0,4.4,4.0,16.0,1.0,4.0,1.0,39.62,2073600.0,74990.0
16.0,4.5,4.0,8.0,0.0,0.0,0.0,35.56,2304000.0,65990.0
10.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,41990.00000000001
16.0,4.4,2.0,8.0,1.0,2.0,0.0,39.62,2073600.0,69490.0
26.0,4.820000000000001,4.0,16.0,0.0,0.0,0.0,35.56,5939136.0,183990.0
16.0,4.5,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,64990.0
9.0,3.7999999999999994,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,39250.0
14.0,4.0,4.0,8.0,0.0,0.0,0.0,35.56,2073600.0,45990.00000000001
16.0,4.4,4.0,16.0,0.0,0.0,0.0,39.62,2073600.0,56990.0
12.0,4.3,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,41990.00000000001
9.0,4.1,4.0,8.0,0.0,0.0,0.0,39.62,2073600.0,39990.0
23.0,5.0,5.999999999999999,16.0,1.0,8.0,0.0,40.64,4096000.0,149990.0
16.0,4.4,4.0,16.0,1.0,4.0,0.0,39.62,2073600.0,58990.0
16.0,4.5,4.0,16.0,0.0,0.0,0.0,35.56,3110400.0,54990.0
