Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i5,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,68990.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,56990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,82890.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600,56990.0
Ryzen 5 Hexa Core,4.3,512 GB,16,INTEGRATED,0,No,35.56,2073600,57490.0
Ryzen 7 Octa Core,4.7,1 TB,16,INTEGRATED,0,No,33.78,2304000,78990.0
Ryzen 7 Octa Core,4.3,512 GB,16,INTEGRATED,0,No,39.62,2073600,63990.0
Ryzen 5 Hexa Core,,512 GB,16,INTEGRATED,0,No,40.64,2304000,54990.0
Ryzen 5 Hexa Core,4.5,512 GB,16,INTEGRATED,0,No,35.56,2073600,46990.0
Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,63490.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,39490.0
Ryzen 5 Hexa Core,4.2,512 GB,8,DEDICATED,4,No,39.62,2073600,54990.0
Core i5,4.6,512 GB,16,INTEGRATED,0,No,39.62,2073600,74999.0
M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840,110490.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600,72999.0
Ryzen 3 Quad Core,3.8,512 GB,8,INTEGRATED,0,No,39.62,2073600,37990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,92990.0
M2,,256 GB,8,INTEGRATED,0,No,34.54,4259840,110490.0
Ryzen 3 Quad Core,4.1,512 GB,8,INTEGRATED,0,No,39.62,2073600,47990.0
M1,,256 GB,16,INTEGRATED,0,No,33.78,4096000,111990.0
Core i5,4.5,512 GB,16,INTEGRATED,0,No,35.56,3110400,54990.0
Core i5,4.6,512 GB,8,INTEGRATED,0,No,39.62,2073600,64890.0
Core i3,,512 GB,8,INTEGRATED,0,No,39.62,1049088,34990.0
Celeron Dual Core,2.4,NO_SSD,4,INTEGRATED,0,Yes,39.62,2073600,16990.0
Core i9,5.4,1 TB,32,DEDICATED,6,Yes,36.83,5184000,229898.0
Ryzen 3 Quad Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,1049088,30990.0
Ryzen 7 Octa Core,4.5,512 GB,16,INTEGRATED,0,No,40.64,2073600,71590.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,50990.0
Core i5,4.7,1 TB,16,DEDICATED,6,Yes,36.83,5184000,199990.0
Core i5,4.2,512 GB,8,DEDICATED,2,No,39.62,2073600,54990.0
Ryzen 9 Octa Core,5.4,1 TB,16,DEDICATED,12,No,43.94,3686400,269990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,71639.0
Core i5,,512 GB,8,INTEGRATED,0,No,39.62,2073600,50963.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600,44499.0
Core i5,4.7,512 GB,16,DEDICATED,4,No,35.56,5184000,89990.0
Core i7,4.7,512 GB,16,INTEGRATED,0,No,35.56,5184000,84990.0
M2,,256 GB,8,INTEGRATED,0,No,33.78,4096000,119990.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600,93990.0
Ryzen 7 Octa Core,4.7,2 TB,32,DEDICATED,6,No,40.64,2304000,213741.0
Core i3,3.7,512 GB,8,INTEGRATED,0,Yes,35.56,2073600,54999.0
Ryzen 3 Dual Core,3.5,256 GB,8,INTEGRATED,0,No,38.0,2073600,36790.0
Core i3,4.5,512 GB,8,INTEGRATED,0,No,35.56,2073600,45990.0
Core i3,4.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,47990.0
Core i7,5.0,2 TB,32,DEDICATED,8,No,40.64,4096000,259990.0
Core i5,4.6,1 TB,8,INTEGRATED,0,No,39.62,2073600,68490.0
Core i5,4.4,512 GB,16,INTEGRATED,0,Yes,35.56,2073600,66990.0
Core i9,5.0,1 TB,32,DEDICATED,16,No,43.94,2073600,323990.0
Celeron Dual Core,2.8,NO_SSD,4,INTEGRATED,0,Yes,35.56,1049088,22990.0
