product_id,product_link,product_description,product_image
COMGMGXFGKBRSATC,https://www.flipkart.com/product/p/item?pid=COMGMGXFGKBRSATC,ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ323WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/c/r/7/-original-imagpxgqbu5hmwzs.jpeg?q=70
COMGFPEHZGNAGD3F,https://www.flipkart.com/product/p/item?pid=COMGFPEHZGNAGD3F,DELL Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) Vostro 3420 Notebook,https://rukminim1.flixcart.com/image/416/416/l4x2rgw0/computer/m/n/n/vostro-3420-notebook-dell-original-imagfpq37h38xebf.jpeg?q=70
COMGMV6VPA6EGV6E,https://www.flipkart.com/product/p/item?pid=COMGMV6VPA6EGV6E,MSI Core i7 13th Gen - (32 GB/1 TB SSD/Windows 11 Home) Summit E16Flip A13VET-068IN Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/6/8/summit-e16flip-a13vet-068in-laptop-msi-original-imagnjyhqzwamgh7.jpeg?q=70
COMGADGHNBK494MP,https://www.flipkart.com/product/p/item?pid=COMGADGHNBK494MP,Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Laptop,https://rukminim1.flixcart.com/image/416/416/kxuqdu80/computer/o/u/j/lenovo-core-i5-laptop-lenovo-original-imaga7u8ehmnfggx.jpeg?q=70
COMGCXD8CU7RQXEE,https://www.flipkart.com/product/p/item?pid=COMGCXD8CU7RQXEE,ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) K413EA-EB303WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/o/b/q/-original-imagpxgruqwqpyy4.jpeg?q=70
COMGKCFXC4CSZVXY,https://www.flipkart.com/product/p/item?pid=COMGKCFXC4CSZVXY,Acer Aspire 5 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) A515-57 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/d/z/v/-original-imagzsctfgtfj5hj.jpeg?q=70
COMGCYCEH9RMGGZ5,https://www.flipkart.com/product/p/item?pid=COMGCYCEH9RMGGZ5,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7-6800H - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX RTX 3050/144 Hz) G513RC-HN083W Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l0vbukw0/computer/z/o/e/-original-imagckcfz6jgjn3z.jpeg?q=70
COMGGHMQBQDBK6KH,https://www.flipkart.com/product/p/item?pid=COMGGHMQBQDBK6KH,ASUS ROG Zephyrus G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) GA503RM-LN095WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l58iaa80/computer/n/d/u/ga503rm-hq030ws-gaming-laptop-asus-original-imagfyjexnzcas5v.jpeg?q=70
COMGNJMCDUFBTMZK,https://www.flipkart.com/product/p/item?pid=COMGNJMCDUFBTMZK,HP Pavilion x360 (2023) Intel Core i5 13th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-ek1009TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/p/g/b/-original-imagp7pfgpjvf4mh.jpeg?q=70
COMGBHZBHNRMFBQT,https://www.flipkart.com/product/p/item?pid=COMGBHZBHNRMFBQT,DELL Core i7 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti) G15-5511 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/kzrbiq80/computer/z/p/k/g15-5511-gaming-laptop-dell-original-imagbpb23gfh8er5.jpeg?q=70
COMGKC6YAWGQPZZY,https://www.flipkart.com/product/p/item?pid=COMGKC6YAWGQPZZY,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15IHU6 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/i/m/15ihu6-gaming-laptop-lenovo-original-imagkwgwgbxysnr2.jpeg?q=70
COMGDJJYFJ7WC7FH,https://www.flipkart.com/product/p/item?pid=COMGDJJYFJ7WC7FH,DELL G15 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050 Ti/120 Hz) G15-5520 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l26hdow0/computer/d/r/a/g15-5521-se-gaming-laptop-dell-original-imagdktezaswjvsk.jpeg?q=70
COMGFYQZFDSSH4DD,https://www.flipkart.com/product/p/item?pid=COMGFYQZFDSSH4DD,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti/165 Hz) G513RW-HQ137WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l08gsy80/computer/m/l/h/g513rc-hn083w-gaming-laptop-asus-original-imagc2h7wwznsqzk.jpeg?q=70
COMGFWCYMZRHCHU9,https://www.flipkart.com/product/p/item?pid=COMGFWCYMZRHCHU9,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 9 Octa Core AMD R9-5900HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) FA506QM-HN124W Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l572ufk0/computer/7/r/j/fa506qm-hn124w-gaming-laptop-asus-original-imagfxjyz2xdyd9f.jpeg?q=70
COMGZ4PNGZFFGJTX,https://www.flipkart.com/product/p/item?pid=COMGZ4PNGZFFGJTX,MSI Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) GF63 Thin 11SC-1299IN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l2qhjm80/computer/l/t/g/gf63-thin-11uc-867in-gaming-laptop-msi-original-imageyk5hzuthuyf.jpeg?q=70
COMGFM5BYHQPXCRZ,https://www.flipkart.com/product/p/item?pid=COMGFM5BYHQPXCRZ,Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U - (8 GB/512 GB SSD/Windows 11 Home) 15ADA7 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/l4vnbm80/computer/i/f/f/15ada7-thin-and-light-laptop-lenovo-original-imagfzzxmhfgzysy.jpeg?q=70
COMGZDQJH462QNUT,https://www.flipkart.com/product/p/item?pid=COMGZDQJH462QNUT,ASUS Zenbook 14 OLED (2023) Intel EVO P-Series Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) UX3402VA-KM542WS Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/s/b/7/-original-imagpxgrhpnzyz6b.jpeg?q=70
COMGFWCYMQDRR2GT,https://www.flipkart.com/product/p/item?pid=COMGFWCYMQDRR2GT,ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7-6800HS - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) GV601RM-M6054WS 2 in 1 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l59xq4w0/computer/w/e/b/gv601re-m6012ws-gaming-laptop-asus-original-imagfzchctgpefz6.jpeg?q=70
COMG9NYDUGF7SGWN,https://www.flipkart.com/product/p/item?pid=COMG9NYDUGF7SGWN,DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) Inspiron 5518 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/ko8xtow0/computer/j/q/r/na-thin-and-light-laptop-dell-original-imag2qm3x6zhexrf.jpeg?q=70
COMGGYY3CPAZTY8A,https://www.flipkart.com/product/p/item?pid=COMGGYY3CPAZTY8A,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti) G513RW-HQ148WS Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/l08gsy80/computer/r/j/h/g513rc-hn062w-gaming-laptop-asus-original-imagc2hkehpcytxe.jpeg?q=70
