product_id,product_link,product_description,product_image,Processor_Name,Processor_Generation,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,Refresh_Rate,price
COMGHMH6JRYP56GE,https://www.flipkart.com/product/p/item?pid=COMGHMH6JRYP56GE,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) Ideapad Gaming3 15ACH6D1 Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/v/k/d/14iau7-gaming-laptop-lenovo-original-imaghnq4zafgebtu.jpeg?q=70,Ryzen 5 Hexa Core,,3.2 GHz upto max turbo frequency at 4.2 Ghz,256 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,120 Hz,"51,990"
COMGMM3HXJC3TYYH,https://www.flipkart.com/product/p/item?pid=COMGMM3HXJC3TYYH,Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/u/u/k/-original-imagmxuravjcmdwu.jpeg?q=70,Core i3,10th Gen,"Base Frequency 1.2 GHz, Max Turbo Frequency at 3.4 GHz",512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,60 Hz,"29,990"
COMG9VHHF6HVJPP9,https://www.flipkart.com/product/p/item?pid=COMG9VHHF6HVJPP9,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,Ryzen 5 Hexa Core,,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,512 GB,8 GB,AMD Radeon AMD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"43,975"
COMGHN4MYVNWWQHG,https://www.flipkart.com/product/p/item?pid=COMGHN4MYVNWWQHG,HP Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s- fr4000TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/f/a/8/-original-imagp7pf86vm9mmj.jpeg?q=70,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,8 GB,Intel Integrated Iris Xe,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"52,990"
COMGGR9SBTFZCNDU,https://www.flipkart.com/product/p/item?pid=COMGGR9SBTFZCNDU,Lenovo IdeaPad 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/n/i/u/-original-imagpa5fbvqzk2xn.jpeg?q=70,Core i5,11th Gen,4.2,512 GB,8 GB,Intel Integrated Iris Xe Graphics,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,,"53,190"
COMGMXT5FNPRPFGZ,https://www.flipkart.com/product/p/item?pid=COMGMXT5FNPRPFGZ,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/1/p/t/x1500ea-ej3381ws-laptop-asus-original-imagmxt4aksvxgbe.jpeg?q=70,Core i3,11th Gen,3.0 Ghz. Turbo Upto 4.1 Ghz.,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,"38,990"
COMGG3S9ZPRYMXS5,https://www.flipkart.com/product/p/item?pid=COMGG3S9ZPRYMXS5,HP 15s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2511TU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/j/r/j/-original-imagp7pfqggfaqqm.jpeg?q=70,Core i3,11th Gen,Up to 4.1 GHz,512 GB,8 GB,Intel Integrated UHD Graphics,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"38,990"
COMGDSFCWQY5EFZB,https://www.flipkart.com/product/p/item?pid=COMGDSFCWQY5EFZB,HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light Laptop,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/r/q/b/-original-imagp7pfjb8utket.jpeg?q=70,Ryzen 5 Hexa Core,,2.4 GHz upto max turbo frequency at 4.3 Ghz,512 GB,16 GB,AMD Radeon AMD,,No,35.56 cm (14 inch),1920 x 1080 Pixel,,"57,990"
COMGMSV98MBHV8XH,https://www.flipkart.com/product/p/item?pid=COMGMSV98MBHV8XH,Acer Extensa (2023) Core i3 - (8 GB/512 GB SSD/Windows 11 Home) EX215-33 Notebook,https://rukminim1.flixcart.com/image/416/416/xif0q/computer/7/o/r/-original-imagnc38zedzfnw6.jpeg?q=70,Core i3,,Max Turbo Frequency Upto 3.80 GHz,512 GB,8 GB,Intel Integrated UHD,,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,,"33,990"
COMGFM5BFZHDDB4R,https://www.flipkart.com/product/p/item?pid=COMGFM5BFZHDDB4R,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) 82K101B6IN|82K101FTIN Gaming Laptop,https://rukminim1.flixcart.com/image/416/416/ks99aq80/computer/y/z/7/na-gaming-laptop-lenovo-original-imag5ve3jvhgvsnx.jpeg?q=70,Core i5,11th Gen,2.5 GHz upto max turbo frequency at 4.5 Ghz,512 GB,8 GB,NVIDIA GeForce GTX 1650,4 GB,No,100.63 cm (39.62 cm),1920 x 1080 Pixel,,"49,990"
