Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,43990.0
Ryzen 5 Hexa Core,4.2,256 GB,8,DEDICATED,4,No,39.62,2073600.0,51990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600.0,109990.0
M2 Max,,1 TB,32,INTEGRATED,0,No,40.64,7720704.0,322490.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,40990.0
Core i5,4.5,512 GB,16,DEDICATED,4,No,39.62,2073600.0,65990.0
Core i3,4.1,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,38990.0
Core i3,4.1,256 GB,8,INTEGRATED,0,No,39.62,2073600.0,30990.0
Ryzen 7 Octa Core,4.75,1 TB,16,INTEGRATED,0,No,33.78,2304000.0,77990.0
Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,51900.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,39.62,2073600.0,44990.0
M2 Pro,,1 TB,16,INTEGRATED,0,No,40.64,7720704.0,248490.0
Core i5,4.4,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,51990.0
Ryzen 5 Hexa Core,4.5,512 GB,8,DEDICATED,4,No,38.0,2073600.0,69990.0
Ryzen 7 Octa Core,4.7,1 TB,16,DEDICATED,6,No,39.62,2073600.0,123990.0
Ryzen 3 Quad Core,,512 GB,8,INTEGRATED,0,No,35.56,1049088.0,26999.0
Ryzen 5 Hexa Core,4.0,512 GB,8,DEDICATED,4,No,43.94,2073600.0,63990.0
Celeron Quad Core,2.8,256 GB,8,INTEGRATED,0,No,35.56,2073600.0,22990.0
Core i7,4.7,512 GB,16,DEDICATED,4,No,39.62,2073600.0,94990.0
Core i5,3.6,512 GB,8,INTEGRATED,0,No,35.56,2073600.0,37990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,35.56,2073600.0,50990.0
Core i3,4.4,512 GB,8,INTEGRATED,0,No,38.0,2073600.0,43900.0
Core i5,4.4,512 GB,8,DEDICATED,2,No,39.62,2073600.0,67990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,63990.0
Core i7,4.7,512 GB,16,DEDICATED,6,No,39.62,2073600.0,92990.0
Core i5,4.4,512 GB,16,INTEGRATED,0,No,39.62,2073600.0,65990.0
Core i5,4.4,256 GB,8,DEDICATED,4,No,39.62,2073600.0,61990.0
Core i3,4.5,512 GB,8,INTEGRATED,0,No,40.64,2304000.0,47990.0
